time_delta,delta_x,AbsError
0.05,1.0,3.2589822527627543
0.05,2.0,30.03317580114985
0.05,4.0,47.29124031727887
0.1,1.0,1.8718854785692054
0.1,2.0,28.51704676889178
0.1,4.0,46.58156289792403
0.2,1.0,1.761034490676854
0.2,2.0,25.129949994698233
0.2,4.0,44.775111285020806
0.25,1.0,2.156516576594061
0.25,2.0,24.35575644631114
0.25,4.0,44.58156289792403
